Connected to the server
Starting a file (upload.txt) upload...
received ack: 2651960: from the server
received ack: 9035324: from the server
received ack: 8974878: from the server
received ack: 3402476: from the server
received ack: 8634766: from the server
received ack: 3856618: from the server
received ack: 9931382: from the server
received ack: 1606518: from the server
received ack: 915804: from the server
received ack: 8959622: from the server
received ack: 4985334: from the server
received ack: 743852: from the server
received ack: 5130054: from the server
received ack: 6953226: from the server
received ack: 4445400: from the server
received ack: 6899828: from the server
received ack: 3484860: from the server
received ack: 9670644: from the server
received ack: 2811592: from the server
received ack: 3966890: from the server
received ack: 7833286: from the server
received ack: 9930760: from the server
received ack: 2379228: from the server
received ack: 3209618: from the server
received ack: 2021512: from the server
received ack: 4960270: from the server
received ack: 6484100: from the server
received ack: 270706: from the server
received ack: 165924: from the server
received ack: 4283114: from the server
received ack: 3443820: from the server
received ack: 6764444: from the server
received ack: 7964344: from the server
received ack: 9699106: from the server
received ack: 9366678: from the server
received ack: 144712: from the server
received ack: 988248: from the server
received ack: 6814304: from the server
received ack: 2963092: from the server
received ack: 201670: from the server
received ack: 5852560: from the server
received ack: 1134390: from the server
received ack: 4878790: from the server
received ack: 5701118: from the server
received ack: 6474358: from the server
received ack: 6853850: from the server
received ack: 5487284: from the server
received ack: 2488876: from the server
received ack: 4419478: from the server
received ack: 3046000: from the server
received ack: 1060380: from the server
received ack: 2242954: from the server
received ack: 7143020: from the server
received ack: 9336442: from the server
received ack: 2847510: from the server
received ack: 823448: from the server
received ack: 2314464: from the server
received ack: 4089062: from the server
received ack: 5972664: from the server
received ack: 6524020: from the server
received ack: 2128536: from the server
received ack: 3222840: from the server
received ack: 5984512: from the server
received ack: 2902552: from the server
received ack: 1847830: from the server
received ack: 1814358: from the server
received ack: 8274950: from the server
received ack: 6879556: from the server
received ack: 9463084: from the server
received ack: 7352852: from the server
received ack: 9922084: from the server
received ack: 5915770: from the server
received ack: 396500: from the server
received ack: 5064474: from the server
received ack: 4946746: from the server
received ack: 12428: from the server
received ack: 1034130: from the server
received ack: 6111670: from the server
received ack: 8566282: from the server
received ack: 4539440: from the server
received ack: 1124702: from the server
received ack: 1726210: from the server
received ack: 2382876: from the server
received ack: 8994524: from the server
received ack: 1208602: from the server
received ack: 6938798: from the server
received ack: 2715778: from the server
received ack: 8035510: from the server
received ack: 458698: from the server
received ack: 8232286: from the server
received ack: 3799488: from the server
received ack: 4219358: from the server
received ack: 9656264: from the server
received ack: 4377914: from the server
received ack: 3429052: from the server
received ack: 2587466: from the server
received ack: 1562510: from the server
received ack: 2565906: from the server
received ack: 8119446: from the server
received ack: 2030102: from the server
received ack: 1659304: from the server
received ack: 6431096: from the server
received ack: 960758: from the server
received ack: 7842810: from the server
received ack: 3515718: from the server
